#汉字	近音同调	近音异调
一		
乙		
丁	祯增厅诊贞真针桢斟缯臻珍听砧憎榛侦甄汀曾箴	诊缜怎挺赠赈疹震霆梃振亭廷阵婷蜓枕鸩朕艇听娠镇停庭
七	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹勣稽蹟基跻叽居饥	洎棘疾暨忌祭集脊己骑借芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥
乃		徕睐癞籁来赖莱濑
九	朽巧雀悄姣皎侥愀角鹊较勦饺狡脚晓筿缴小铰搅绞宿剿矫	毬溴嚣袖跷修哮消娇邱箫肖窍醮蕉峭囚羞秋逍浇俏秀撬跤轿球诮鲛硝销橇胶脩仇瞧宿傚蛟嗅萧觉宵桥教蚯枭樵鞘憔酵姣裘骄窖削效笑焦詨龟霄骁泅壳交椒嘐求乔孝咻岫梂丘礁啸较敲锈郊谯酋锹校叫侨臭潇秋休鳅绣学翘嚼
了	铆柳钮扭鸟纽忸嬝袅	刘尿留泵琉浏呢流瘤溜霤妞馏遛拗榴硫陆六牛
二		
人	瓤攘仍禳	扔嚷让攘壤
儿	瓤攘仍禳	扔嚷让攘壤
入		
八		
几	携烯嬉膝妻玺洗溪岂绮析乞启栖漆慼蟋羲起蹊曦淅悉熹禧犀萋行蜥凄稀希吸欺徙晰畦兮鳃杞熙柒厘喜谿譆稽牺唏晞悽嘻西奚戚七僖	歧烯嬉耆惜祺玺洗细祁析乞祇祈枝漆迄夕锡歙锜气曦熹悉旗犀萋汐麒蜥稀希欺崎熙奇汽柒矽喜企稽牺悽潟契席憩系熄奚砌七僖携琪齐琦蓆膝棋骑妻溪岂绮弃碛启系期器媳栖讫慼息蟋羲起蹊昔褶淅淇其愒禧系翕行凄戏隙吸习徙脐畦晰鳍兮杞圻鳃岐衹厘譆谿亟唏嘻晞泣西戚缉檄袭
刀	滔涛絛偷掏韬都饕兜	斗涛萄蚪焘桃豆头梼淘窦洮陡枓透读斗脰痘逃啕讨陶套抖投逗
刁	挑丢刀	頫眺挑条佻调迢蜩覜窕跳
力	昵泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩你旎
匕		
十		赐泗肆厮鸶饲巳伺嗣撕似耜丝思死四祀司兕私食寺驷斯俟姒嘶
卜		
又	乐要钥耀药拗曜鹞	要淆哟夭崤咬谣杳瑶侥窈尧摇邀洮吆舀榣腰肴姚幺遥肴窑妖爻
三	扇姗縿删山舢煽跚羶杉衫珊潸芟	鳝扇膳禅擅疝讪缮汕赡煽善闪单陕
下	驾价架贾假稼嫁	嘉假夏钾颊加葭家甲挟迦浃痂贾荚戛袈夹茄豭佳胛家
丈	阵枕鸩脏葬朕赈震藏娠奘镇振	祯脏枕诊贞缜真怎针桢斟疹臻赃珍臧砧臜侦榛甄箴
上	嗓哂审渗甚沈肾蜃沁婶脤丧慎沈	桑砷信渗申肾呻伸身沁参绅丧慎沈嗓哂审甚沈莘深娠蜃森婶脤神
丫		
丸	缘媛源员原辕园圆援騵猿湲元爰袁沅垣	宛院苑媛愿渊愿冤鸳鸢怨远
凡	涵函含韩榦汗寒	憾悍旱颌和汉汗颔銲翰撼蚶罕捍鼾瀚喊酣焊
久	朽巧雀悄姣皎侥愀角鹊较勦饺狡脚晓筿缴小铰搅绞宿剿矫	毬溴嚣袖跷修哮消娇邱箫肖窍醮蕉峭囚羞秋逍浇俏秀撬跤轿球诮鲛硝销橇胶脩仇瞧宿傚蛟嗅萧觉宵桥教蚯枭樵鞘憔酵姣裘骄窖削效笑焦詨龟霄骁泅壳交椒嘐求乔孝咻岫梂丘礁啸较敲锈郊谯酋锹校叫侨臭潇秋休鳅绣学翘嚼
幺	幽攸悠优忧	游黝由牖邮友疣莠又尤幼犹猷游鼬诱宥油右柚祐铀有侑酉囿佑鱿釉
也		
乞	几脊己挤几济戟给麂	洎棘玑羁暨疾忌肌祭集脊骑借芰鸡矶乩剂积几记绩期机屐瘠楫迹嵇觊纪蹟基计级极居妓冀畸戢姬畿其击寄辑寂犄蓟及饥嫉疠际几唧箕继急伋荠奇吉讥激季圾稷即髻霁汲技稽勣吃亟既悸跻籍系岌叽济鲫骥饥
于	吾亡诬无毋鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂軏污垩
亡	盂玟妤隅娱榆愚鱼耘文闻逾禺舆愉芸褕蝓竽云雩雯纹渝筠蚊觎腴渔昀臾于谀纭圩余匀余瑜俞云予欤萸于虞	瘉员滪域瘀宇驭刎狱文瘟峪昱温燠愠韵雨紊预迂语晕纡与煜酝龉欲噢氲芋育问俞稳堉郁豫羽毓裕御吁妪敔喻玉欲圉闻孕誉吻禺禹熨陨屿愈寓愈塭谕圄御谷郁运淤遇抆庾蕴汶聿允尉予免浴
